Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S160015589,Brant,Branta bernicla,314,1,US-CO,El Paso,L279246,Broadmoor Hotel--Cheyenne Lake (private),38.7908291,-104.851563,2024-01-28,07:12 AM,eBird - Traveling Count,61,1,.278,,1,,"Dark overall with black head, black neck, white necklace, mottled flanks, and white tail. Smaller than Canada Geese nearby.",,614113822 614113824
S209605558,Barnacle Goose,Branta leucopsis,322,50,NL-ZH,,L5088207,Kinderdijk--Hooge Boezem van de Overwaard,51.8834021,4.6412086,2025-01-17,02:10 PM,eBird - Traveling Count,114,1,1.851,,1
S161314344,Cackling Goose,Branta hutchinsii,331,3,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-02-12,07:19 AM,eBird - Traveling Count,26,1,1.271,,1
S159448526,Cackling Goose,Branta hutchinsii,331,1750,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2024-01-21,07:21 AM,eBird - Traveling Count,71,1,.42,,1,,,,613808425
S154138824,Cackling Goose,Branta hutchinsii,331,2,US-CO,Arapahoe,L728862,Utah Park,39.6831471,-104.8443317,2023-11-10,08:48 AM,eBird - Traveling Count,37,1,1.32,,1
S153722155,Cackling Goose,Branta hutchinsii,331,1,US-CO,Denver,L909119,Overland Park,39.68946,-104.9979567,2023-11-04,09:49 AM,eBird - Traveling Count,24,1,.837,,1
S159198486,Cackling Goose,Branta hutchinsii,331,1,US-CO,Denver,L818036,South Platte River--W. Evans Ave to W. Florida Ave,39.6810821,-105.0009784,2024-01-18,07:55 AM,eBird - Traveling Count,39,1,1.674,,1
S127812531,Cackling Goose,Branta hutchinsii,331,1,US-CO,Jefferson,L1743685,Belmar Park,39.7044793,-105.0857735,2023-02-07,08:38 AM,eBird - Traveling Count,22,1,.368,,1,,,,532774221
S174113073,Canada Goose,Branta canadensis,342,31,US-CO,Adams,L3189445,Clear Creek Trail--Lowell Blvd to Federal Blvd,39.7991892,-105.0317645,2024-05-12,04:29 PM,eBird - Traveling Count,44,1,.662,,1,,"17 adults, 14 goslings"
S196681408,Canada Goose,Branta canadensis,342,14,US-CO,Adams,L3189445,Clear Creek Trail--Lowell Blvd to Federal Blvd,39.7991892,-105.0317645,2024-09-27,06:33 PM,eBird - Traveling Count,39,1,2.462,,1
