









Frequency of observations in the selected location(s).:
Number of taxa: 	476

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Domestic goose sp. x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.452E-4	0.0015	0.0	0.0	0.0	0.0010091	0.0	0.0015	0.0	0.0	5.669E-4	
Cackling/Canada Goose	0.0012967	8.613E-4	0.0017809	0.0014189	0.0014549	0.0010471	6.161E-4	0.0025402	7.669E-4	0.0010054	6.307E-4	2.18E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016871	0.0010356	9.838E-4	0.001037	0.0	9.425E-4	5.045E-4	0.0	0.0011357	5.559E-4	5.015E-4	8.503E-4	
Mute Swan	0.0010373	0.0081826	0.0124666	0.0085137	0.0063046	0.0031414	0.00267	0.0042337	0.0042178	0.0036863	0.0050457	0.0124264	0.0100528	0.0084727	0.0146484	0.016567	0.0082104	0.0069277	0.0121976	0.0054012	0.0018629	0.0011881	0.0020525	0.0024973	0.0022272	0.0010593	0.0010101	0.0015	4.782E-4	0.0	9.501E-4	6.137E-4	7.902E-4	0.0015668	8.425E-4	6.798E-4	0.0012653	6.904E-4	0.0019675	0.0013826	0.0023844	0.001885	0.0	0.0018302	5.679E-4	0.0016676	0.001003	2.834E-4	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.913E-4	0.0	0.0	0.0	3.66E-4	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.0043066	4.452E-4	0.0014189	9.699E-4	6.981E-4	2.054E-4	0.0042337	0.0015337	0.0	3.154E-4	0.0015261	0.0123147	6.689E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0034072	0.0077821	0.0	0.0	
Tundra Swan	0.0282676	0.0611542	0.0734639	0.0723661	0.0785645	0.0481675	0.0464161	0.084674	0.068635	0.0526139	0.0141911	0.0189666	0.0095501	0.0042363	0.0019531	0.0012272	0.0010643	1.506E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013826	0.0114449	0.0160226	0.0227043	0.0248902	0.0232822	0.0322401	0.0265797	0.0178571	
Trumpeter x Tundra Swan (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter/Tundra Swan	2.593E-4	0.0015	4.452E-4	3.547E-4	4.85E-4	0.0	2.054E-4	0.0015	0.0015	3.351E-4	6.307E-4	6.54E-4	0.0010053	2.23E-4	4.883E-4	1.534E-4	0.0	3.012E-4	2.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.452E-4	0.0	3.457E-4	0.0	0.0	5.045E-4	3.66E-4	5.679E-4	0.0	5.015E-4	0.0	
swan sp.	2.593E-4	0.001292	0.0	0.0	9.699E-4	0.0010471	0.0	4.234E-4	7.669E-4	0.0016756	3.154E-4	2.18E-4	5.026E-4	4.459E-4	0.0	3.068E-4	4.561E-4	3.012E-4	0.0	0.0	0.0	3.96E-4	4.105E-4	0.0	4.454E-4	0.0	0.0	0.0	0.0	4.808E-4	0.0	0.0	0.0	0.0	0.0	3.399E-4	0.0	3.452E-4	0.0	3.457E-4	9.537E-4	0.0	0.0015	0.0	5.679E-4	5.559E-4	0.001003	2.834E-4	
goose sp.	7.78E-4	0.0	4.452E-4	0.0014189	4.85E-4	3.49E-4	2.054E-4	4.234E-4	0.0015	0.0	3.154E-4	4.36E-4	0.0	4.459E-4	2.441E-4	9.204E-4	1.52E-4	3.012E-4	3.999E-4	7.716E-4	0.0	3.96E-4	0.0	3.568E-4	0.0	0.0	0.0	0.0	0.0	4.808E-4	0.0	0.0	3.951E-4	0.0	0.0	3.399E-4	0.0	3.452E-4	0.0	3.457E-4	0.0	4.713E-4	5.045E-4	0.0	0.0	0.0	0.0	0.0	
Paradise Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.834E-4	
Muscovy Duck	0.0025934	4.307E-4	4.452E-4	0.0014189	0.0015	3.49E-4	0.0015	0.0	0.0019172	6.702E-4	0.0025229	0.00109	0.0012566	6.689E-4	7.324E-4	1.534E-4	3.041E-4	3.012E-4	2.0E-4	3.858E-4	0.0	3.96E-4	0.0015	0.0	4.454E-4	0.0	0.0	0.0	0.0014347	0.0	0.0	0.0	0.0	3.917E-4	0.0	0.0	0.0	0.0027615	4.919E-4	3.457E-4	0.0	0.0014138	0.0020182	0.0015	0.0011357	5.559E-4	5.015E-4	0.0090703	
Wood Duck	0.0044087	0.0111972	0.0035619	0.0024832	9.699E-4	0.0010471	0.0010269	0.0059272	0.0233896	0.0482574	0.0895617	0.1076957	0.1284242	0.1284281	0.1149902	0.1227182	0.0875779	0.0745482	0.0855829	0.0796682	0.0707899	0.0728713	0.0648604	0.0617196	0.0530067	0.0730932	0.0631313	0.0683106	0.1042563	0.1293269	0.1026128	0.120896	0.1299881	0.1386604	0.1293176	0.1162475	0.0851961	0.0873317	0.06788	0.0494297	0.0252742	0.0207352	0.0110999	0.0062225	0.0045429	0.008338	0.0105316	0.0042517	
Mandarin Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.834E-4	0.0040214	0.0104068	0.0322651	0.0477507	0.0508361	0.0527344	0.0464795	0.0208302	0.0118976	0.0065987	0.0069444	0.0055887	0.0043564	0.0049261	0.0010703	4.454E-4	0.001589	0.0050505	0.0019993	0.0033477	0.0081731	0.0185273	0.0288432	0.0387199	0.039953	0.0341196	0.0312712	0.0206664	0.0138074	0.008362	0.0065676	0.0019075	4.713E-4	0.0010091	3.66E-4	0.0	0.0	0.0	0.0	
Northern Shoveler	0.004668	0.0021533	0.0017809	0.0010642	0.0015	0.0013962	0.0010269	0.003387	0.0072853	0.0197721	0.0406812	0.0431655	0.0452375	0.0294314	0.0256348	0.015033	0.0053216	0.0021084	9.998E-4	5.787E-4	0.0014903	3.96E-4	4.105E-4	0.0	0.0	0.0	5.051E-4	0.0015	4.782E-4	9.615E-4	0.0014252	0.0027616	0.0055314	0.009009	0.0088458	0.0118967	0.0050612	0.0079392	0.0113133	0.0110612	0.0061993	0.0065975	0.0050454	0.0084187	0.0051107	0.0088938	0.0070211	0.0073696	
Gadwall	0.0153008	0.0193798	0.0231523	0.018801	0.0189137	0.0101222	0.0080099	0.0287892	0.0314417	0.0462466	0.0788395	0.0784827	0.0799196	0.0655518	0.0688477	0.0541494	0.0171811	0.0063253	0.0019996	0.001929	3.726E-4	0.0	0.0	0.0	4.454E-4	5.297E-4	5.051E-4	3.332E-4	0.0	4.808E-4	0.0019002	0.0046026	0.0055314	0.0101841	0.0134794	0.0231135	0.0316322	0.0548844	0.063453	0.0729347	0.0510253	0.0414703	0.0489405	0.067716	0.028393	0.0339077	0.0260782	0.0221088	
Eurasian Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060322	0.0148218	8.72E-4	0.0027645	6.689E-4	7.324E-4	7.67E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon	7.78E-4	0.0017227	0.0013357	0.0014189	0.0038797	0.0027923	0.0063668	0.0338696	0.0329755	0.0502681	0.0760013	0.0763026	0.0595627	0.0465998	0.0336914	0.0208621	0.0069941	0.0027108	0.0021996	1.929E-4	7.452E-4	0.0011881	8.21E-4	0.0	0.0	5.297E-4	0.0015152	3.332E-4	0.0014347	0.0014423	4.751E-4	0.003989	0.0043461	0.0133177	0.0155855	0.0197145	0.023197	0.0324474	0.0354156	0.0300726	0.0267048	0.0207352	0.0050454	0.0102489	0.0068143	0.0027793	5.015E-4	0.0022676	
Mallard	0.279305	0.2803618	0.2626892	0.2451224	0.2478177	0.1919721	0.1439721	0.3060965	0.2990798	0.3337802	0.3938821	0.3972095	0.3985926	0.3971014	0.4001465	0.4224574	0.4350008	0.4192771	0.3989202	0.3134645	0.2630402	0.249901	0.2224959	0.1919372	0.2062361	0.2314619	0.2545455	0.2945685	0.3362028	0.3456731	0.3653207	0.3838601	0.4022126	0.3713278	0.3892165	0.3738953	0.3635597	0.3783224	0.4048205	0.3957829	0.3810205	0.3972667	0.3950555	0.4026354	0.3418512	0.34408	0.3234704	0.2913832	
Wood Duck x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.068E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Black Duck	0.0513485	0.0585702	0.0583259	0.0606598	0.0543162	0.0380454	0.030191	0.0715495	0.0521472	0.0392091	0.0337433	0.030521	0.0218648	0.0138239	0.0097656	0.0087437	0.0074502	0.0069277	0.0029994	0.0030864	7.452E-4	7.921E-4	0.0012315	0.001427	8.909E-4	5.297E-4	0.0020202	0.0019993	0.0057389	0.0038462	0.0057007	0.0092053	0.0082971	0.0144928	0.0067397	0.014276	0.016027	0.0352088	0.0501722	0.0397511	0.0386266	0.037229	0.0443996	0.0519766	0.044293	0.0444691	0.0466399	0.0368481	
Mallard x American Black Duck (hybrid)	0.0012967	0.0043066	0.0031167	0.0039021	0.0	0.0020942	0.0014377	0.0012701	0.002684	0.0030161	0.0025229	0.0017441	0.0015079	0.0011148	4.883E-4	0.0	0.0	0.0	0.0	0.0	0.0	7.921E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.782E-4	9.615E-4	4.751E-4	6.137E-4	7.902E-4	0.0011751	4.212E-4	6.798E-4	8.435E-4	0.0013807	0.0019675	0.002074	0.0014306	0.0023563	0.0030272	0.0021962	0.003975	0.0022235	0.0025075	0.0028345	
Mallard/American Black Duck	0.0	4.307E-4	4.452E-4	0.0010642	0.0	0.0015	2.054E-4	0.0	3.834E-4	0.0020107	9.461E-4	0.0015261	5.026E-4	6.689E-4	0.0	4.602E-4	1.52E-4	6.024E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.051E-4	0.0	9.565E-4	0.0014423	9.501E-4	6.137E-4	7.902E-4	0.0011751	0.0	0.0013596	0.0	6.904E-4	0.0	0.0	0.0	9.425E-4	0.0015136	0.0010981	5.679E-4	0.0011117	0.002006	0.0	
Northern Pintail	0.00389	0.0017227	0.0040071	0.0046116	0.0024248	0.0038394	0.0041076	0.0203218	0.0153374	0.019437	0.0223904	0.0130804	0.0070369	0.0051282	0.0019531	4.602E-4	0.0	1.506E-4	3.999E-4	1.929E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	4.782E-4	0.0	0.0014252	0.0	0.0	0.0066588	0.0042123	0.0095173	0.0075917	0.0148429	0.0167241	0.0131352	0.0128755	0.0089538	0.006559	0.0073206	0.0034072	0.0105614	0.004012	0.0031179	
Mallard x Northern Pintail (hybrid)	0.0	0.0	0.0	3.547E-4	4.85E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green-winged Teal	0.003112	0.0021533	4.452E-4	0.0014189	0.0014549	0.0	8.215E-4	0.0055038	0.0038344	0.0191019	0.0305897	0.0379333	0.0387032	0.025864	0.0168457	0.0125786	0.0030409	0.0016566	5.999E-4	0.0	3.726E-4	7.921E-4	0.0012315	0.0	8.909E-4	0.0026483	0.0015	0.0016661	0.0033477	0.0019231	0.0095012	0.0135011	0.0268669	0.0423032	0.0438079	0.0516655	0.0447069	0.054194	0.0585342	0.0597995	0.0414878	0.0329877	0.0206862	0.0164714	0.003975	0.0066704	0.001003	0.0017007	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.568E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canvasback	0.0342324	0.079242	0.0966162	0.1142249	0.1202716	0.0736475	0.0570959	0.127011	0.1207822	0.0794236	0.0583412	0.0368433	0.0231214	0.0140468	0.0063477	0.0038349	3.041E-4	0.0	0.0	1.929E-4	0.0	0.0	0.0	3.568E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.452E-4	0.0014757	0.001037	0.0019075	0.0032988	0.0055499	0.0098829	0.011925	0.0194553	0.0250752	0.0172902	
