









Frequency of observations in the selected location(s).:
Number of taxa: 	476

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Surf Scoter	0.0020747	0.002584	0.0013357	7.095E-4	0.0019399	0.0017452	8.215E-4	0.0097375	0.0080521	0.0043566	0.0040997	0.0028341	0.0015	8.919E-4	7.324E-4	0.0012272	7.602E-4	0.0	0.0	1.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020394	0.0113876	0.0331377	0.0363994	0.0297269	0.0176443	0.0136664	0.0055499	0.0058565	0.0022714	0.0022235	0.002006	0.0036848	
White-winged Scoter	0.0054461	0.0137812	0.0120214	0.0124158	0.0198836	0.0153578	0.0080099	0.034293	0.023773	0.025134	0.0154525	0.0093743	0.0032672	0.0031215	0.0029297	6.136E-4	3.041E-4	3.012E-4	5.999E-4	0.0015	3.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0040789	0.0067482	0.01864	0.0304968	0.021431	0.029566	0.0146089	0.0156408	0.0153734	0.0102215	0.0066704	0.005015	0.0056689	
Black Scoter	0.001556	8.613E-4	0.0031167	0.0024832	9.699E-4	0.0	4.108E-4	0.0021169	0.0038344	0.0033512	3.154E-4	0.0017441	7.54E-4	2.23E-4	2.441E-4	1.534E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.399E-4	8.435E-4	0.005523	0.012789	0.0120982	0.0123987	0.0075401	0.0050454	0.0043924	0.0034072	0.0027793	5.015E-4	0.0017007	
Surf/Black Scoter	0.0	4.307E-4	0.0	0.0	0.0	0.0	2.054E-4	4.234E-4	0.0	0.0	0.0	0.0	0.0	2.23E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.435E-4	0.0020711	0.004427	0.0027653	0.0014306	0.0014138	0.0035318	0.0010981	0.0011357	0.0	0.0	0.0	
scoter sp.	2.593E-4	0.0	4.452E-4	0.0010642	4.85E-4	0.0	0.0	0.0012701	7.669E-4	6.702E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.435E-4	6.904E-4	0.0039351	0.003111	0.0023844	0.0023563	0.0020182	0.0	5.679E-4	0.0	0.0	5.669E-4	
Long-tailed Duck	0.0365664	0.0331611	0.0258237	0.0290883	0.028128	0.0247818	0.0115013	0.0448772	0.0375767	0.0348525	0.0309051	0.0257249	0.0191003	0.0109253	0.0056152	0.0012272	1.52E-4	1.506E-4	2.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.808E-4	4.751E-4	0.0	0.0	0.0	4.212E-4	6.798E-4	8.435E-4	0.0051778	0.0162322	0.0200484	0.029566	0.0471254	0.0454087	0.0530747	0.0266894	0.0255698	0.0240722	0.0334467	
Bufflehead	0.1008817	0.1167097	0.1104185	0.1092586	0.1110572	0.0806283	0.058739	0.141829	0.148773	0.1253351	0.14538	0.177458	0.1975371	0.1928651	0.1555176	0.0859027	0.0419644	0.0078313	0.0019996	1.929E-4	0.0	0.0	4.105E-4	0.0	0.0	5.297E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0012653	0.0020711	0.0098377	0.0162461	0.0820219	0.1305372	0.1493441	0.1778917	0.1470755	0.1478599	0.1238716	0.1096939	
Common Goldeneye	0.1141079	0.166236	0.1487088	0.1656616	0.1668283	0.1123909	0.0807147	0.161304	0.1437883	0.1085791	0.0917692	0.0793547	0.0500126	0.0358974	0.0166016	0.0038349	0.0018245	4.518E-4	0.0	1.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.808E-4	0.0	0.0	0.0	3.917E-4	0.0	0.0	4.218E-4	6.904E-4	0.0014757	0.0058763	0.033381	0.0749293	0.0872856	0.1112738	0.0863146	0.0989439	0.106319	0.1179138	
Barrow's Goldeneye	0.0	0.0	0.0	0.0	0.0	3.49E-4	0.0	0.0029636	0.0126534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common/Barrow's Goldeneye	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.234E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hooded Merganser	0.0557573	0.0555556	0.0494212	0.0500177	0.0523763	0.0247818	0.0213596	0.0694327	0.0816718	0.0981903	0.1617786	0.1430129	0.1236492	0.0845039	0.0583496	0.0274582	0.01338	0.0103916	0.010198	0.0061728	0.0093145	0.0083168	0.0032841	0.0035676	0.0044543	5.297E-4	0.0010101	0.0026658	0.0014347	0.0033654	0.0052257	0.0088984	0.0154089	0.0121426	0.0092671	0.0115568	0.0067482	0.0100104	0.0147565	0.0387141	0.0457797	0.0848256	0.0872856	0.1193265	0.0834753	0.1028349	0.0757272	0.0572562	
Common Goldeneye x Hooded Merganser (hybrid)	0.0	0.0	0.0	0.0	9.699E-4	3.49E-4	6.161E-4	0.0	0.0	0.0	0.0	2.18E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Merganser	0.0946577	0.1192937	0.1206589	0.1457964	0.1677983	0.1082024	0.0915999	0.1820491	0.169862	0.1414209	0.14538	0.1275343	0.1103292	0.1014493	0.0834961	0.0489339	0.0331458	0.0290663	0.0237952	0.0270062	0.0298063	0.0190099	0.0164204	0.0221192	0.0173719	0.0195975	0.0186869	0.0189937	0.0248685	0.0322115	0.0370546	0.0420374	0.0493876	0.0470035	0.0480202	0.0506458	0.0442851	0.071108	0.0757501	0.0739717	0.0858369	0.1098021	0.1246216	0.1383602	0.1254969	0.1122846	0.0992979	0.0966553	
Red-breasted Merganser	0.1011411	0.0964686	0.1032947	0.1184817	0.1343356	0.0935428	0.0659273	0.1519898	0.1434049	0.1199732	0.1201514	0.1447569	0.150289	0.1725753	0.1218262	0.0685688	0.0351224	0.0170181	0.0053989	0.0030864	7.452E-4	0.0	0.0	3.568E-4	8.909E-4	0.001589	5.051E-4	3.332E-4	0.0	4.808E-4	9.501E-4	3.068E-4	7.902E-4	7.834E-4	0.0025274	0.0027192	0.0037959	0.0082844	0.0103296	0.0107155	0.0352885	0.072573	0.1220989	0.1672767	0.1504827	0.1400778	0.1193581	0.1147959	
Common/Red-breasted Merganser	0.0020747	0.0021533	0.0017809	7.095E-4	0.0024248	3.49E-4	4.108E-4	8.467E-4	3.834E-4	6.702E-4	0.0022075	6.54E-4	2.513E-4	6.689E-4	9.766E-4	9.204E-4	3.041E-4	3.012E-4	2.0E-4	0.0015	0.0	0.0	0.0	3.568E-4	0.0	0.0	0.0	3.332E-4	0.0	0.0	0.0	3.068E-4	0.0	0.0	0.0	0.0	0.0	6.904E-4	0.0024594	0.002074	0.003815	0.0047125	0.0085772	0.0025622	0.0017036	5.559E-4	0.0025075	0.0017007	
merganser sp.	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Duck	0.0090768	0.0099053	0.0066785	0.0081589	0.0101843	0.0038394	0.001643	0.0067739	0.002684	0.0087131	0.025544	0.0196207	0.0201056	0.0278707	0.0219727	0.0156466	0.0079063	0.0012048	0.0013997	0.0015432	3.726E-4	0.0	8.21E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028504	0.0	0.0	0.0	0.0	0.0013596	0.0046394	0.0065585	0.0167241	0.0172831	0.0176443	0.0141376	0.0136226	0.0270864	0.0136286	0.0138966	0.0145436	0.0073696	
duck sp.	0.0111515	0.0189492	0.0138023	0.0152536	0.0203686	0.0153578	0.0096529	0.0131245	0.0126534	0.0070375	0.0072532	0.0071942	0.0065343	0.0044593	0.003418	0.001534	0.0012164	0.0013554	0.0019996	0.0015432	0.0029806	0.0019802	0.001642	0.0010703	0.0035635	0.0021186	0.0010101	0.0036654	0.0038259	0.0024038	0.0042755	0.0055232	0.0063216	0.0023502	0.0021061	0.0054385	0.0021088	0.0072489	0.0118052	0.0093329	0.0047687	0.0117813	0.012109	0.0131772	0.0113572	0.0111173	0.0105316	0.0124717	
waterfowl sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.218E-4	0.0	0.0	0.0	0.0	0.0	5.045E-4	0.0	0.0	0.0	0.0	0.0	
Helmeted Guineafowl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.726E-4	3.96E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Bobwhite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.154E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
California Quail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	1.534E-4	0.0	0.0	2.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Wild Turkey	0.0178942	0.0228252	0.0173642	0.0180915	0.0261882	0.0216405	0.0227973	0.0237087	0.0268405	0.0294906	0.0195522	0.0235448	0.0266399	0.0283166	0.036377	0.038196	0.0346663	0.0307229	0.0339932	0.0304784	0.0305514	0.0273267	0.0229885	0.0221192	0.0267261	0.0243644	0.0217172	0.0229923	0.0306074	0.0322115	0.0361045	0.033139	0.0300277	0.0415198	0.0336984	0.0312712	0.0253058	0.0272696	0.0334481	0.026616	0.0233667	0.0292177	0.0262361	0.0259883	0.0300965	0.0227904	0.0260782	0.0178571	
Ruffed Grouse	2.593E-4	0.0	0.0	0.0015	0.0	3.49E-4	0.0015	0.0012701	3.834E-4	0.0	3.154E-4	0.001308	2.513E-4	4.459E-4	4.883E-4	3.068E-4	0.0012164	4.518E-4	9.998E-4	7.716E-4	0.0011177	3.96E-4	8.21E-4	3.568E-4	8.909E-4	5.297E-4	0.0015	0.0	0.0	0.0015	0.0	0.0	3.951E-4	0.0	0.0016849	6.798E-4	4.218E-4	0.0010356	0.0	0.0013826	4.769E-4	0.0015	0.0	3.66E-4	5.679E-4	0.0	0.0	5.669E-4	
Gray Partridge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.513E-4	0.0	0.0	0.0	0.0	1.506E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Golden Pheasant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Pheasant	0.0059647	0.0034453	0.0031167	0.0031926	0.0033948	0.0031414	0.0039022	0.003387	0.002684	0.0040214	0.0037843	0.0056682	0.005529	0.0051282	0.0046387	0.0038349	0.0036491	0.002259	0.0031994	0.0044367	0.0022355	0.0015842	8.21E-4	7.135E-4	0.0013363	0.0021186	5.051E-4	0.0013329	9.565E-4	9.615E-4	0.0014252	0.0018411	0.0019755	3.917E-4	0.0029486	0.0027192	0.0042176	0.0034518	0.0029513	0.0044936	0.0061993	0.00377	0.0020182	0.0025622	0.0017036	0.0011117	0.0035105	0.0042517	
Indian Peafowl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Quail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.441E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chukar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.441E-4	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon	0.1099585	0.1080965	0.0934996	0.1025186	0.1134821	0.0883072	0.0636681	0.1227773	0.1146472	0.1156166	0.1059603	0.1076957	0.1100779	0.109476	0.1032715	0.1001687	0.091227	0.0838855	0.1007798	0.0896991	0.0942623	0.1053465	0.092775	0.1027471	0.1202673	0.1228814	0.1313131	0.137954	0.1597322	0.1658654	0.175772	0.1687634	0.1738443	0.1453192	0.15754	0.1505778	0.1433994	0.1470487	0.1392031	0.1330798	0.1344778	0.1371348	0.1473259	0.1409224	0.1431005	0.1295164	0.1303912	0.1173469	
White-winged Dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mourning Dove	0.2512967	0.2394488	0.247106	0.2607308	0.2662464	0.3050611	0.3532553	0.2840813	0.3125	0.3294236	0.3081047	0.3488119	0.3541091	0.3629877	0.3747559	0.4055837	0.4050479	0.3987952	0.3987203	0.3962191	0.4008942	0.4158416	0.4466338	0.4224046	0.4383073	0.4486229	0.4449495	0.4311896	0.4878049	0.4581731	0.4807601	0.4418533	0.4203872	0.4081473	0.3887953	0.3562203	0.3277098	0.2937522	0.2828333	0.2751469	0.2451121	0.2365693	0.2547931	0.2335286	0.2850653	0.2757087	0.2642929	0.2502834	
pigeon/dove sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.808E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.036E-4	0.005199	0.0135031	0.0104322	0.0194059	0.0119048	0.0103461	0.0040089	0.0026483	0.0045455	0.0026658	0.001913	0.0024038	0.0028504	0.0012274	0.0011853	0.0019585	0.0063184	0.0044188	0.0021088	0.0010356	0.0	3.457E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.602E-4	0.0046687	0.0117976	0.0181327	0.0126677	0.0083168	0.0069787	0.0049946	0.0026726	0.0052966	0.0060606	0.002999	0.001913	9.615E-4	9.501E-4	0.0027616	0.0011853	0.0015668	0.0015	3.399E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-billed/Black-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.012E-4	3.999E-4	0.0011574	0.0	3.96E-4	0.001642	3.568E-4	0.0	0.0	0.0015	0.0	4.782E-4	4.808E-4	0.0	3.068E-4	3.951E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Nighthawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010542	0.0121976	0.0192901	0.009687	0.0027723	0.0024631	0.001427	0.0013363	0.0010593	5.051E-4	0.0015	9.565E-4	0.0014423	0.008076	0.0150353	0.0193599	0.0101841	0.0046335	0.0016995	4.218E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Whip-poor-will	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-4	0.0	0.0012272	0.0057777	1.506E-4	0.0015	1.929E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	4.212E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
nightjar sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.506E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chimney Swift	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.513E-4	0.0	0.0061035	0.0299126	0.108104	0.1462349	0.1641672	0.1454475	0.1412072	0.1283168	0.1223317	0.1095255	0.1073497	0.096928	0.0969697	0.0969677	0.1162123	0.0923077	0.0831354	0.0635164	0.0454366	0.0282021	0.0206403	0.0156356	0.0084353	0.003797	4.919E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruby-throated Hummingbird	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001534	0.0252395	0.0771084	0.1257748	0.1275077	0.1184799	0.1350495	0.1358785	0.1466286	0.1567929	0.1551907	0.1510101	0.1606131	0.1898613	0.1759615	0.2118765	0.2267567	0.1580403	0.1132002	0.0463353	0.0190347	0.0059047	0.0024163	9.838E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Rufous Hummingbird	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0029513	0.0013826	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rufous/Allen's Hummingbird	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Broad-billed Hummingbird	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.919E-4	0.0366402	0.0081068	0.0	0.0045409	0.0018302	0.0011357	0.0	0.0	0.0	
hummingbird sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.452E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
King Rail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	3.96E-4	0.0	0.0	0.0	0.0	5.051E-4	0.0	0.0	0.0	4.751E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Virginia Rail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.154E-4	0.0017441	0.0077909	0.0107023	0.0163574	0.0236233	0.020222	0.0138554	0.0143971	0.0092593	0.0104322	0.0087129	0.0077997	0.0064217	0.0089087	0.0105932	0.0080808	0.0099967	0.0105213	0.0072115	0.007601	0.0147284	0.0102726	0.0058754	0.0067397	0.003739	0.0021088	0.0020711	0.0024594	0.0	4.769E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	2.513E-4	0.0011148	0.0058594	0.0156466	0.020222	0.0088855	0.0045991	0.0030864	0.0029806	0.0011881	0.0012315	3.568E-4	4.454E-4	0.0010593	5.051E-4	0.0023326	0.0	0.0015	0.0015	0.0027616	0.003951	0.0015668	0.005476	0.0030591	4.218E-4	0.005523	0.0019675	6.913E-4	9.537E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Gallinule	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-4	0.003418	0.0081301	0.0144443	0.0078313	0.0071986	0.0104167	0.0122951	0.0122772	0.0139573	0.008919	0.0057906	0.0052966	0.0116162	0.0073309	0.0114778	0.0091346	0.0095012	0.0101258	0.0138285	0.0152761	0.0117944	0.0098572	0.0037959	0.0013807	4.919E-4	6.913E-4	0.0	0.0	0.0	3.66E-4	0.0	0.0	0.0	0.0	
American Coot	0.0243776	0.0193798	0.024488	0.0209294	0.014064	0.0062827	0.0051345	0.011431	0.0084356	0.0103887	0.0290129	0.0449095	0.0497612	0.0486065	0.057373	0.0447921	0.020374	0.0079819	0.0075985	0.0050154	0.002608	0.0015842	0.0	3.568E-4	0.0	5.297E-4	0.0035354	0.0016661	0.001913	4.808E-4	0.0023753	0.0021479	0.0019755	0.0031336	0.0025274	0.010537	0.0172923	0.0514325	0.0496803	0.0546146	0.0515021	0.0358153	0.0247225	0.045754	0.0249858	0.0322401	0.0245737	0.0337302	
Purple Gallinule	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow Rail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sandhill Crane	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011503	0.0016756	0.0025229	0.0034881	0.0025132	0.0028986	0.0036621	0.001534	9.123E-4	0.0010542	9.998E-4	0.0011574	7.452E-4	3.96E-4	4.105E-4	0.0010703	4.454E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	3.399E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	7.321E-4	0.0	0.0015	0.0015045	0.0015	
Black-necked Stilt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Avocet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0013684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042373	0.0015	0.0015	0.0	0.0081731	0.0047506	3.068E-4	0.0	0.0	0.0	0.0013596	0.0025306	0.0207111	0.0063945	0.0017283	0.0015	0.0	0.0	0.0	0.0	5.559E-4	0.0015	0.0	
Black-bellied Plover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52E-4	1.506E-4	5.999E-4	1.929E-4	0.0011177	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	9.565E-4	0.0014423	4.751E-4	0.0046026	0.0110628	0.0121426	0.0139006	0.0156356	0.00717	0.0051778	0.0024594	6.913E-4	4.769E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
